Tieu_de,gia,Tinh_trang,Km_da_di,Hop_so,Nhien_lieu,Nguoi_ban,Dong_xe,Nam_san_xuat,Dan_dong,Mau_xe,Xuat_xu,Link_image
Xe Mới Hyundai Accent Accent 1.4 AT Full 2022,501 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2022,FWD: Cầu trước,Đỏ,Trong nước,"['https://choxe.net/uploads/auto/202203/341584/gallery/936x624-254659168_405992197686313_7980295731239384786_n.jpg', 'https://choxe.net/uploads/auto/202203/341584/gallery/936x624-622e9ae48c3a5.jpg', 'https://choxe.net/uploads/auto/202203/341584/gallery/936x624-622e9ae48db2d.jpg', 'https://choxe.net/uploads/auto/202203/341584/gallery/936x624-622e9affac1f7.jpg', 'https://choxe.net/uploads/auto/202203/341584/gallery/936x624-622e9ae48f168.jpg']"
Xe Mới Hyundai I10 Grand I10 Sedan 1.2 AT 2021,455 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2021,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202203/341583/gallery/936x624-622e97e3536b2.jpg', 'https://choxe.net/uploads/auto/202203/341583/gallery/936x624-622e97e35498f.jpg', 'https://choxe.net/uploads/auto/202203/341583/gallery/936x624-622e97e355b2d.jpg', 'https://choxe.net/uploads/auto/202203/341583/gallery/936x624-622e97e352165.jpg']"
Xe Cũ Toyota Camry 2.4G 2008,435 triệu,Cũ,"67,000 km",Số tự động,Xăng,Cá nhân,Sedan,2008,FWD: Cầu trước,Đen,Trong nước,"['https://choxe.net/uploads/auto/202203/341582/gallery/936x624-622e68ca44a06.jpg', 'https://choxe.net/uploads/auto/202203/341582/gallery/936x624-622e68ca4698a.jpg', 'https://choxe.net/uploads/auto/202203/341582/gallery/936x624-622e68ca4b62c.jpg', 'https://choxe.net/uploads/auto/202203/341582/gallery/936x624-622e68ca48101.jpg', 'https://choxe.net/uploads/auto/202203/341582/gallery/936x624-622e68ca49848.jpg']"
Xe Cũ Hyundai I10 MT 1.6 2016,310 triệu,Cũ,"30,000 km",Số sàn,Xăng,Cá nhân,Sedan,2016,FWD: Cầu trước,Bạc,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341579/gallery/936x624-622d9b6953da6.jpg', 'https://choxe.net/uploads/auto/202203/341579/gallery/936x624-622d9b695148d.jpg', 'https://choxe.net/uploads/auto/202203/341579/gallery/936x624-622d9b696773d.jpg', 'https://choxe.net/uploads/auto/202203/341579/gallery/936x624-622d9b696266c.jpg', 'https://choxe.net/uploads/auto/202203/341579/gallery/936x624-622d9b696e1f7.jpg', 'https://choxe.net/uploads/auto/202203/341579/gallery/936x624-622d9b6975914.jpg', 'https://choxe.net/uploads/auto/202203/341579/gallery/936x624-622d9b695dbcd.jpg', 'https://choxe.net/uploads/auto/202203/341579/gallery/936x624-622d9b6959dab.jpg', 'https://choxe.net/uploads/auto/202203/341579/gallery/936x624-622d9b6956bdf.jpg']"
Xe Cũ Nissan Navara Sl 2018,530 triệu,Cũ,"100,000 km",Số sàn,Dầu,Cá nhân,Xe Bán tải,2018,4WD: 4 bánh,Xanh,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341578/gallery/936x624-143F043F-07BA-42A5-BE83-9AE6FC185300.jpeg', 'https://choxe.net/uploads/auto/202203/341578/gallery/936x624-08A71248-CE58-4998-84CB-2C09C0FDC8B6.jpeg', 'https://choxe.net/uploads/auto/202203/341578/gallery/936x624-31B2C1B4-6353-4EB2-98ED-671969B8EED0.jpeg', 'https://choxe.net/uploads/auto/202203/341578/gallery/936x624-CC1021DE-50C0-47AB-85AE-F314D088C9D6.jpeg', 'https://choxe.net/uploads/auto/202203/341578/gallery/936x624-129662C1-BB37-4FA8-8E40-0863C5EEE903.jpeg', 'https://choxe.net/uploads/auto/202203/341578/gallery/936x624-B374F2FF-F05B-4A79-B9D7-5131FCFC307C.jpeg']"
Xe Mới Ford Transit 2022 2022,845 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Mobilhome,2022,RWD: Cầu sau,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341573/gallery/936x624-622c0837ac3c1.jpg', 'https://choxe.net/uploads/auto/202203/341573/gallery/936x624-622c0837aaa8e.jpg', 'https://choxe.net/uploads/auto/202203/341573/gallery/936x624-622c0837ad845.jpg', 'https://choxe.net/uploads/auto/202203/341573/gallery/936x624-622c0837b1930.jpg', 'https://choxe.net/uploads/auto/202203/341573/gallery/936x624-622c0837b0055.jpg', 'https://choxe.net/uploads/auto/202203/341573/gallery/936x624-622c0837aec57.jpg']"
Xe Cũ Toyota Camry 2.5HV 2021,1.57 tỷ ,Cũ,58 km,Số tự động,Xăng,Cá nhân,Sedan,2021,FWD: Cầu trước,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341568/gallery/936x624-622b086881835.jpg', 'https://choxe.net/uploads/auto/202203/341568/gallery/936x624-622b0838d7aba.jpg', 'https://choxe.net/uploads/auto/202203/341568/gallery/936x624-622b086883633.jpg', 'https://choxe.net/uploads/auto/202203/341568/gallery/936x624-622b08551c776.jpg', 'https://choxe.net/uploads/auto/202203/341568/gallery/936x624-622b08551e3b4.jpg']"
Xe Cũ Mitsubishi Jolie SS 2005 2005,120 triệu,Cũ,"20,000,000 km",Số sàn,Xăng,Cá nhân,Mobilhome,2005,4WD: 4 bánh,Bạc,Trong nước,"['https://choxe.net/uploads/auto/202203/341567/gallery/936x624-622afc677b198.jpg', 'https://choxe.net/uploads/auto/202203/341567/gallery/936x624-622afc6776130.jpg', 'https://choxe.net/uploads/auto/202203/341567/gallery/936x624-622afc677896f.jpg', 'https://choxe.net/uploads/auto/202203/341567/gallery/936x624-622afc67743d4.jpg', 'https://choxe.net/uploads/auto/202203/341567/gallery/936x624-622afc67727b4.jpg']"
Xe Cũ Mitsubishi Outlander 2.0 Máy Xăng 2017,720 triệu,Cũ,"38,000 km",Số tự động,Xăng,Cá nhân,Sedan,2017,4WD: 4 bánh,Nâu,Trong nước,"['https://choxe.net/uploads/auto/202203/341564/gallery/936x624-6229feb2b5430.jpg', 'https://choxe.net/uploads/auto/202203/341564/gallery/936x624-6229feb2b73d5.jpg', 'https://choxe.net/uploads/auto/202203/341564/gallery/936x624-6229feb2b37d0.jpg', 'https://choxe.net/uploads/auto/202203/341564/gallery/936x624-6229feb2afb8a.jpg', 'https://choxe.net/uploads/auto/202203/341564/gallery/936x624-6229feb2b1c42.jpg']"
Xe Mới MG HS Sport 1.5 Turbo 2022,719 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2022,FWD: Cầu trước,Đen,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341562/gallery/936x624-hs3.jpeg', 'https://choxe.net/uploads/auto/202203/341562/gallery/936x624-hs1.jpeg', 'https://choxe.net/uploads/auto/202203/341562/gallery/936x624-hs4.jpeg', 'https://choxe.net/uploads/auto/202203/341562/gallery/936x624-hs2.jpeg']"
Xe Mới MG ZS STD 2022,519 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2022,FWD: Cầu trước,Đen,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341561/gallery/936x624-622966981ac4c.jpg', 'https://choxe.net/uploads/auto/202203/341561/gallery/936x624-622966981de38.jpg', 'https://choxe.net/uploads/auto/202203/341561/gallery/936x624-622966981bc32.jpg', 'https://choxe.net/uploads/auto/202203/341561/gallery/936x624-622966981cc99.jpg']"
Xe Cũ BMW 5 520i 2018,1.9 tỷ ,Cũ,"15,000 km",Số tự động,Xăng,Cá nhân,Sedan,2018,4WD: 4 bánh,Màu khác,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341559/gallery/936x624-2D693812-918E-4974-B4B9-6A113B7AA7CE.jpeg', 'https://choxe.net/uploads/auto/202203/341559/gallery/936x624-F62C27BC-1126-4043-BBDB-92D365A9C042.jpeg', 'https://choxe.net/uploads/auto/202203/341559/gallery/936x624-47BA788D-BCEB-40DF-A7FC-59721BCD8C6A.jpeg', 'https://choxe.net/uploads/auto/202203/341559/gallery/936x624-FA4EF322-940F-4F9B-8962-46641CBA1A13.jpeg', 'https://choxe.net/uploads/auto/202203/341559/gallery/936x624-653BEB06-8096-410B-8015-F12C23A3B346.jpeg', 'https://choxe.net/uploads/auto/202203/341559/gallery/936x624-8F319F4F-F764-4546-85EF-AAC77BEBF909.jpeg', 'https://choxe.net/uploads/auto/202203/341559/gallery/936x624-C6D3EF77-F8A5-49E6-93FA-80D74D95996B.jpeg']"
Xe Cũ Hãng Khác Xe Con Golf Cart Club Car DS Limo 2019,175 triệu,Cũ,10 km,Số tự động,Xăng,Cá nhân,SUV,2019,RWD: Cầu sau,Cam,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341558/gallery/936x624-62281dcf55875.jpg', 'https://choxe.net/uploads/auto/202203/341558/gallery/936x624-62281dcf64106.jpg', 'https://choxe.net/uploads/auto/202203/341558/gallery/936x624-62281dcf74b78.jpg', 'https://choxe.net/uploads/auto/202203/341558/gallery/936x624-62281dcf42065.jpg', 'https://choxe.net/uploads/auto/202203/341558/gallery/936x624-62281e17bc889.jpg']"
Xe Mới Honda CR-V L 2021,1.118 tỷ ,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2021,FWD: Cầu trước,Xanh,Trong nước,"['https://choxe.net/uploads/auto/202203/341556/gallery/936x624-62275b67e1d00.jpg', 'https://choxe.net/uploads/auto/202203/341556/gallery/936x624-62275b67e3fed.jpg', 'https://choxe.net/uploads/auto/202203/341556/gallery/936x624-62275b67e6282.jpg', 'https://choxe.net/uploads/auto/202203/341556/gallery/936x624-62275b67e8315.jpg']"
Xe Cũ Hyundai HD 72 + HD65 2010,595 triệu,Cũ,"50,000 km",Số sàn,Dầu,Cá nhân,Xe tải,2010,FWD: Cầu trước,Màu khác,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341550/gallery/936x624-6224bcc6ba00d.jpg', 'https://choxe.net/uploads/auto/202203/341550/gallery/936x624-6224bcb5891e6.jpg']"
Xe Cũ Hãng Khác Xe Tải Pro 2020,440 triệu,Cũ,"24,000 km",Số sàn,Dầu,Cá nhân,Xe tải,2020,FWD: Cầu trước,Xanh,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341545/gallery/936x624-62230144b2020.jpg', 'https://choxe.net/uploads/auto/202203/341545/gallery/936x624-62230144affe3.jpg', 'https://choxe.net/uploads/auto/202203/341545/gallery/936x624-62230144b34d9.jpg', 'https://choxe.net/uploads/auto/202203/341545/gallery/936x624-62230144b7ad4.jpg', 'https://choxe.net/uploads/auto/202203/341545/gallery/936x624-62230144b693c.jpg', 'https://choxe.net/uploads/auto/202203/341545/gallery/936x624-62230144b53e2.jpg']"
Xe Mới Hãng Khác Xe Tải 2021 2021,250 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Xe tải,2021,FWD: Cầu trước,Bạc,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341544/gallery/936x624-6222f15fd236e.jpg', 'https://choxe.net/uploads/auto/202203/341544/gallery/936x624-6222f15fd03d6.jpg', 'https://choxe.net/uploads/auto/202203/341544/gallery/936x624-6222f15fccbce.jpg', 'https://choxe.net/uploads/auto/202203/341544/gallery/936x624-6222f15fd532d.jpg', 'https://choxe.net/uploads/auto/202203/341544/gallery/936x624-6222f15fceab2.jpg']"
Xe Mới Hãng Khác Xe Tải Pro 2019,299 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Van/Minivan,2019,FWD: Cầu trước,Nâu,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341543/gallery/936x624-6222c824dade5.jpg', 'https://choxe.net/uploads/auto/202203/341543/gallery/936x624-6222c824ddc02.jpg', 'https://choxe.net/uploads/auto/202203/341543/gallery/936x624-6222c844a96f6.jpg', 'https://choxe.net/uploads/auto/202203/341543/gallery/936x624-6222c824df9fa.jpg', 'https://choxe.net/uploads/auto/202203/341543/gallery/936x624-6222c844a839d.jpg', 'https://choxe.net/uploads/auto/202203/341543/gallery/936x624-6222c824dc752.jpg']"
Xe Cũ Mercedes-Benz GLC 300 2021,2.499 tỷ ,Cũ,"1,333 km",Số tự động,Xăng,Cá nhân,SUV,2021,4WD: 4 bánh,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202203/341539/gallery/936x624-62215f5464a2e.jpg', 'https://choxe.net/uploads/auto/202203/341539/gallery/936x624-62215f5460337.jpg', 'https://choxe.net/uploads/auto/202203/341539/gallery/936x624-62215f5454834.jpg', 'https://choxe.net/uploads/auto/202203/341539/gallery/936x624-62215f5456ff6.jpg', 'https://choxe.net/uploads/auto/202203/341539/gallery/936x624-62215f5459ea7.jpg', 'https://choxe.net/uploads/auto/202203/341539/gallery/936x624-62215f545d04a.jpg']"
Xe Cũ Honda Civic 1.5L Turbo 2017,668 triệu,Cũ,"38,000 km",Số tự động,Xăng,Cá nhân,Sedan,2017,FWD: Cầu trước,Xanh,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341538/gallery/936x624-622145e2c7ac7.jpg', 'https://choxe.net/uploads/auto/202203/341538/gallery/936x624-622145e294e1b.jpg', 'https://choxe.net/uploads/auto/202203/341538/gallery/936x624-622145e264647.jpg', 'https://choxe.net/uploads/auto/202203/341538/gallery/936x624-622145e2b7285.jpg', 'https://choxe.net/uploads/auto/202203/341538/gallery/936x624-622145e2367ac.jpg', 'https://choxe.net/uploads/auto/202203/341538/gallery/936x624-622145e24688a.jpg', 'https://choxe.net/uploads/auto/202203/341538/gallery/936x624-622145e2338a4.jpg', 'https://choxe.net/uploads/auto/202203/341538/gallery/936x624-622145e2747c1.jpg', 'https://choxe.net/uploads/auto/202203/341538/gallery/936x624-622145e239356.jpg']"
Xe Mới KIA K K200 2022,376 triệu,Mới,14 km,Số sàn,Dầu,Cá nhân,Xe tải,2022,RWD: Cầu sau,Màu khác,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341536/gallery/936x624-62202583b3979.jpg', 'https://choxe.net/uploads/auto/202203/341536/gallery/936x624-62202583bfada.jpg', 'https://choxe.net/uploads/auto/202203/341536/gallery/936x624-62202583bc5fd.jpg', 'https://choxe.net/uploads/auto/202203/341536/gallery/936x624-62202583b64b5.jpg', 'https://choxe.net/uploads/auto/202203/341536/gallery/936x624-62202583baf40.jpg']"
Xe Mới Nissan Altima CVT Cao Cấp 2021,579 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2021,FWD: Cầu trước,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341534/gallery/936x624-621f291f2fb5f.jpg', 'https://choxe.net/uploads/auto/202203/341534/gallery/936x624-621f291f31029.jpg', 'https://choxe.net/uploads/auto/202203/341534/gallery/936x624-621f291f32f2a.jpg', 'https://choxe.net/uploads/auto/202203/341534/gallery/936x624-621f291f32004.jpg', 'https://choxe.net/uploads/auto/202203/341534/gallery/936x624-621f291f34fd7.jpg', 'https://choxe.net/uploads/auto/202203/341534/gallery/936x624-621f291f37927.jpg', 'https://choxe.net/uploads/auto/202203/341534/gallery/936x624-621f291f3a038.jpg', 'https://choxe.net/uploads/auto/202203/341534/gallery/936x624-621f291f33dbf.jpg']"
Xe Mới Toyota Corolla 1.8V 2022,730 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2022,RWD: Cầu sau,Xám,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341532/gallery/936x624-621f170d7e392.jpg', 'https://choxe.net/uploads/auto/202203/341532/gallery/936x624-621f170d7f9a3.jpg', 'https://choxe.net/uploads/auto/202203/341532/gallery/936x624-621f170d7748f.jpg', 'https://choxe.net/uploads/auto/202203/341532/gallery/936x624-621f170d810cf.jpg', 'https://choxe.net/uploads/auto/202203/341532/gallery/936x624-621f170d82883.jpg', 'https://choxe.net/uploads/auto/202203/341532/gallery/936x624-621f170d78df5.jpg', 'https://choxe.net/uploads/auto/202203/341532/gallery/936x624-621f170d84220.jpg', 'https://choxe.net/uploads/auto/202203/341532/gallery/936x624-621f170d7b8f2.jpg', 'https://choxe.net/uploads/auto/202203/341532/gallery/936x624-621f170d74189.jpg']"
Xe Cũ Hyundai County 2015 2015,650 triệu,Cũ,"130,000 km",Số sàn,Dầu,Cá nhân,Mobilhome,2015,4WD: 4 bánh,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202203/341527/gallery/936x624-621d8d2b1196a.jpg', 'https://choxe.net/uploads/auto/202203/341527/gallery/936x624-621d8d2b0e87d.jpg', 'https://choxe.net/uploads/auto/202203/341527/gallery/936x624-621d8d2b10b2e.jpg']"
Xe Cũ Mitsubishi Attrage MT 2021 2021,357 triệu,Cũ,"3,000 km",Số sàn,Xăng,Cá nhân,Sedan,2021,FWD: Cầu trước,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202203/341525/gallery/936x624-621d804385bd5.jpg', 'https://choxe.net/uploads/auto/202203/341525/gallery/936x624-621d8043883c6.jpg', 'https://choxe.net/uploads/auto/202203/341525/gallery/936x624-621d804386fce.jpg', 'https://choxe.net/uploads/auto/202203/341525/gallery/936x624-621d8043893a9.jpg', 'https://choxe.net/uploads/auto/202203/341525/gallery/936x624-621d80438aad4.jpg']"
Xe Cũ Nissan Terra V 2019,816 triệu,Cũ,"33,000 km",Số tự động,Xăng,Cá nhân,SUV,2019,4WD: 4 bánh,Đen,Trong nước,"['https://choxe.net/uploads/auto/202203/341524/gallery/936x624-621d725e46cd3.jpg', 'https://choxe.net/uploads/auto/202203/341524/gallery/936x624-621d725e45d42.jpg', 'https://choxe.net/uploads/auto/202203/341524/gallery/936x624-621d725e44df8.jpg', 'https://choxe.net/uploads/auto/202203/341524/gallery/936x624-621d725e42ecc.jpg', 'https://choxe.net/uploads/auto/202203/341524/gallery/936x624-621d725e41cfa.jpg', 'https://choxe.net/uploads/auto/202203/341524/gallery/936x624-621d725e43dab.jpg']"
Xe Cũ Hyundai Porter NEWPORTER H150 2020,365 triệu,Cũ,"6,100 km",Số sàn,Dầu,Cá nhân,Xe tải,2020,4WD: 4 bánh,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/202202/341519/gallery/936x624-621c2e895d0f7.jpg', 'https://choxe.net/uploads/auto/202202/341519/gallery/936x624-621c2e895e1af.jpg', 'https://choxe.net/uploads/auto/202202/341519/gallery/936x624-621c2e895f76b.jpg', 'https://choxe.net/uploads/auto/202202/341519/gallery/936x624-621c2e89609b9.jpg', 'https://choxe.net/uploads/auto/202202/341519/gallery/936x624-621c2e895bbc1.jpg']"
Xe Mới Teraco 190 Thùng 2022,150 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2022,4WD: 4 bánh,Xanh,Trong nước,"['https://choxe.net/uploads/auto/202202/341512/gallery/936x624-621897eb2d0f3.jpg', 'https://choxe.net/uploads/auto/202202/341512/gallery/936x624-621897eb28240.jpg', 'https://choxe.net/uploads/auto/202202/341512/gallery/936x624-621897eb24e80.jpg', 'https://choxe.net/uploads/auto/202202/341512/gallery/936x624-621897eb2bcb9.jpg', 'https://choxe.net/uploads/auto/202202/341512/gallery/936x624-621897eb29871.jpg', 'https://choxe.net/uploads/auto/202202/341512/gallery/936x624-621897eb26c13.jpg', 'https://choxe.net/uploads/auto/202202/341512/gallery/936x624-621897eb2ab4d.jpg']"
Xe Mới Hyundai H150 Thùng Mui Bat 2022,80 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2022,RWD: Cầu sau,Xanh,Trong nước,"['https://choxe.net/uploads/auto/202202/341511/gallery/936x624-6218928a9ed63.jpg', 'https://choxe.net/uploads/auto/202202/341511/gallery/936x624-6218928a9afa0.jpg', 'https://choxe.net/uploads/auto/202202/341511/gallery/936x624-6218928aaef70.jpg', 'https://choxe.net/uploads/auto/202202/341511/gallery/936x624-6218928ab72d9.jpg', 'https://choxe.net/uploads/auto/202202/341511/gallery/936x624-6218928aa6d6a.jpg', 'https://choxe.net/uploads/auto/202202/341511/gallery/936x624-6218928aaac9c.jpg']"
Xe Mới Teraco 100 Thùng 2022,60 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Xe tải,2022,RWD: Cầu sau,Xanh,Trong nước,"['https://choxe.net/uploads/auto/202202/341510/gallery/936x624-62188f1ac1949.jpg', 'https://choxe.net/uploads/auto/202202/341510/gallery/936x624-62188f1aba6d6.jpg', 'https://choxe.net/uploads/auto/202202/341510/gallery/936x624-62188f1abc3fe.jpg', 'https://choxe.net/uploads/auto/202202/341510/gallery/936x624-62188f1abdcd1.jpg', 'https://choxe.net/uploads/auto/202202/341510/gallery/936x624-62188f1abf83e.jpg', 'https://choxe.net/uploads/auto/202202/341510/gallery/936x624-62188f1ac57a7.jpg', 'https://choxe.net/uploads/auto/202202/341510/gallery/936x624-62188f1ac9c4e.jpg']"
Xe Cũ KIA Morning 1.2 2019,275 triệu,Cũ,"83,000 km",Số sàn,Xăng,Cá nhân,Hatchback,2019,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/202202/341507/gallery/936x624-621847cc8a63b.jpg', 'https://choxe.net/uploads/auto/202202/341507/gallery/936x624-621847cc82b7c.jpg', 'https://choxe.net/uploads/auto/202202/341507/gallery/936x624-621847cca5704.jpg', 'https://choxe.net/uploads/auto/202202/341507/gallery/936x624-621847cc9c782.jpg', 'https://choxe.net/uploads/auto/202202/341507/gallery/936x624-621847cc64810.jpg', 'https://choxe.net/uploads/auto/202202/341507/gallery/936x624-621847cc6ba4a.jpg', 'https://choxe.net/uploads/auto/202202/341507/gallery/936x624-621847cc72d33.jpg', 'https://choxe.net/uploads/auto/202202/341507/gallery/936x624-621847cc7a5b7.jpg', 'https://choxe.net/uploads/auto/202202/341507/gallery/936x624-621847cc937a0.jpg']"
Xe Cũ Chevrolet Lacetti 1.6 2013,190 triệu,Cũ,"64,000 km",Số sàn,Xăng,Cá nhân,Sedan,2013,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.net/uploads/auto/202202/341500/gallery/936x624-621701feedea6.jpg', 'https://choxe.net/uploads/auto/202202/341500/gallery/936x624-621701fedfe3f.jpg', 'https://choxe.net/uploads/auto/202202/341500/gallery/936x624-621701fee7167.jpg', 'https://choxe.net/uploads/auto/202202/341500/gallery/936x624-621701ff0a7b0.jpg', 'https://choxe.net/uploads/auto/202202/341500/gallery/936x624-621701ff125c5.jpg', 'https://choxe.net/uploads/auto/202202/341500/gallery/936x624-621701ff01ee0.jpg']"
Xe Cũ Toyota Innova V 2009,325 triệu,Cũ,"80,397 km",Số tự động,Xăng,Cá nhân,Van/Minivan,2009,4WD: 4 bánh,Vàng,Trong nước,"['https://choxe.net/uploads/auto/202202/341499/gallery/936x624-621641ba28399.jpg', 'https://choxe.net/uploads/auto/202202/341499/gallery/936x624-621641ba322b6.jpg', 'https://choxe.net/uploads/auto/202202/341499/gallery/936x624-621641ba16c3c.jpg', 'https://choxe.net/uploads/auto/202202/341499/gallery/936x624-621641ba0fd01.jpg', 'https://choxe.net/uploads/auto/202202/341499/gallery/936x624-621641ba1e697.jpg']"
Xe Cũ Hyundai Xe Du Lịch SL 2020,1.19 tỷ ,Cũ,"37,000 km",Số sàn,Dầu,Cá nhân,Mobilhome,2020,FWD: Cầu trước,Xám,Trong nước,"['https://choxe.net/uploads/auto/202202/341498/gallery/936x624-6216255f64040.jpg', 'https://choxe.net/uploads/auto/202202/341498/gallery/936x624-6216255f6c7bb.jpg', 'https://choxe.net/uploads/auto/202202/341498/gallery/936x624-6216255f6f6ed.jpg', 'https://choxe.net/uploads/auto/202202/341498/gallery/936x624-6216255f616e0.jpg', 'https://choxe.net/uploads/auto/202202/341498/gallery/936x624-6216255f69ef7.jpg', 'https://choxe.net/uploads/auto/202202/341498/gallery/936x624-6216255f668c6.jpg', 'https://choxe.net/uploads/auto/202202/341498/gallery/936x624-6216255f72849.jpg']"
